Title,ViewCount
"How can I check if one string contains another substring?","2802365"
"How can I make a page redirect using jQuery?","2734730"
"Check checkbox checked property","2208405"
"For-each over an array in JavaScript?","2085139"
"How can I get query string values in JavaScript?","1884788"
"Remove a particular element from an array in JavaScript?","1878050"
"Setting ""checked"" for a checkbox with jQuery?","1864317"
"Get selected value in dropdown list using JavaScript?","1829187"
"Href attribute for JavaScript links: ""#"" or ""javascript:void(0)""?","1562104"
"Loop through array in JavaScript","1440778"
"Get current URL in web browser","1409209"
"Include a JavaScript file in another JavaScript file?","1402411"
"Checking if an element is hidden","1374396"
"$(this) selector and children?","1331605"
"Change an element's class with JavaScript","1331435"
"How do I check if an array includes an object in JavaScript?","1280218"
"Parse JSON in JavaScript?","1241549"
"How do you get a timestamp in JavaScript?","1229733"
"Validate decimal numbers in JavaScript - IsNumeric()","1219382"
"Get current URL in JavaScript?","1172249"
"How can I know which radio button is selected via jQuery?","1171113"
"Where can I find documentation on formatting a date in JavaScript?","1154728"
"How can I refresh a page with jQuery?","1140584"
"Validate email address in JavaScript?","1105854"
"""No 'Access-Control-Allow-Origin' header is present on the requested resource""","1097577"
"Get selected text from a drop-down list (select box) using jQuery","1095500"
"How do you check for an empty string in JavaScript?","1078901"
"jQuery scroll to element","1078198"
"Creating a div element in jQuery","1067114"
"Replacing all occurrences of a string in JavaScript","1045778"
"Disable/enable an input with jQuery?","1021205"
"Appending to array","1017333"
"Open a URL in a new tab (and not a new window) using JavaScript","993276"
"How to get current date in JavaScript?","952448"
"Add table row in jQuery","948982"
"What do I do if I want a JavaScript version of sleep()?","937246"
"Encode URL in JavaScript?","936898"
"How to determine if variable is 'undefined' or 'null'?","916399"
"How do I empty an array in JavaScript?","914254"
"What is the most efficient way to clone an object?","904051"
"How can I upload files asynchronously?","889566"
"How do I get started with Node.js","883556"
"How do I copy to the clipboard in JavaScript?","880755"
"jQuery - setting the selected value of a select control via its text description","834875"
"How can I create a two dimensional array in JavaScript?","817348"
"How to format a JavaScript date","809093"
"How to check for ""undefined"" in JavaScript?","805810"
"How to change the href for a hyperlink using jQuery","792867"
"How do I remove a property from a JavaScript object?","781407"
"JavaScript equivalent to printf/string.format","779410"
"Does it matter which equals operator (== vs ===) I use in JavaScript comparisons?","779314"
"jQuery get specific option tag text","778957"
"Change the selected value of a drop-down list with jQuery","774088"
"Trigger a button click with JavaScript on the Enter key in a text box","772508"
"How to get the value from the URL parameter?","770823"
"How do JavaScript closures work?","748679"
"How do I check if string contains substring?","746563"
"How to replace innerHTML of a div using jQuery?","745505"
"What is the best way to detect a mobile device in jQuery?","741849"
"JavaScript post request like a form submit","735502"
"Is there a link to the ""latest"" jQuery library on Google APIs?","735010"
"How can I display a JavaScript object?","727760"
"HTML Text Input allow only Numeric input","727663"
"JavaScript Array Delete Elements","716020"
"jQuery Ajax POST example with PHP","708728"
"Get class name using jQuery","701186"
"What does ""javascript:void(0)"" mean?","691942"
"How do I do string replace in JavaScript to convert ‘9.61’ to ‘9:61’?","690405"
"Capitalize the first letter of string in JavaScript","686235"
"Getting the ID of the element that fired an event","683091"
"Trim string in JavaScript?","682785"
"How can I format numbers as money in JavaScript?","682659"
"Length of a JavaScript object (that is, associative array)","678461"
"Set a default parameter value for a JavaScript function","675309"
"Round to at most 2 decimal places in JavaScript","674711"
"Uncaught ReferenceError: $ is not defined?","673886"
"Changing the image source using jQuery","673545"
"How do I scroll to the top of the page with jQuery?","672179"
"Check if object is array?","672075"
"JavaScript get input text value","666139"
"Window.location.href and Window.open () methods in JavaScript","660305"
"How to check if a string ""StartsWith"" another string?","659383"
"Detecting an undefined object property","655325"
"JavaScript function in href vs. onclick","654404"
"Serializing to JSON in jQuery","653986"
"How can I select an element by name with jQuery?","649932"
"Compare two dates with JavaScript","649397"
"How can I convert a string to boolean in JavaScript?","648262"
"Most elegant way to clone a JavaScript object","633028"
"Best way to find if an item is in a JavaScript array?","631953"
"Determine whether an array contains a value","629381"
"HTTP GET request in JavaScript?","627250"
"Create GUID / UUID in JavaScript?","622794"
"Get the size of the screen, current web page and browser window","622144"
"jQuery document.createElement equivalent?","621143"
"Checking if a key exists in a JavaScript object?","621084"
"How can I check whether a radio button is selected with JavaScript?","617893"
"jQuery disable/enable submit button","616594"
"jQuery.click() vs onClick","616368"
"How to get image size (height & width) using JavaScript?","611962"
"What does ""use strict"" do in JavaScript, and what is the reasoning behind it?","609049"
"How to check a not-defined variable in JavaScript","608751"
