"","�..","CreationDate","DeletionDate","Score","ViewCount","Body","Title","Tags","AnswerCount","CommentCount","FavoriteCount","ClosedDate","CommunityOwnedDate","AcceptedAnswerId","CreationDateComparison","CreationTime"
"1",1,"2009-11-24 13:04:29",NA,4481,2891675,"<p>How can I check if one string contains another substring in JavaScript? 
Usually, I would expect a <code>String.contains()</code> method, but there doesn't seem to be one. What is a reasonable way to check for this?</p>
","How can I check if one string contains another substring?","<javascript><string><string-matching>",38,3,728,"","2013-12-30 00:31:30",1789952,474,"13:04:29"
"2",2,"2009-02-02 12:54:16",NA,4951,2816037,"<p>How can I redirect the user from one page to another using jQuery?</p>
","How can I make a page redirect using jQuery?","<javascript><jquery><redirect>",55,13,1478,"","",506004,179,"12:54:16"
"3",3,"2009-05-23 15:16:39",NA,2550,2268207,"<p>I need to check the <code>checked</code> property of a checkbox and perform an action based on the checked property using jQuery.</p>

<p>For example, if the age checkbox is checked, then I need to show a textbox to enter age, else hide the textbox.</p>

<p>But the following code returns <code>false</code> by default:</p>

<pre><code>if($('#isAgeSelected').attr('checked')) {
    $(""#txtAge"").show();
} else {
    $(""#txtAge"").hide();
}
</code></pre>

<p>How do I successfully query the <code>checked</code> property?</p>
","Check checkbox checked property","<javascript><jquery><checkbox>",51,9,433,"","2013-09-29 15:45:05",903152,289,"15:16:39"
"4",4,"2012-02-17 13:51:48",NA,2310,2148517,"<p>How can I loop through all the objects in an array using JavaScript?</p>

<p>I thought of something like this (where objects is my array of objects):</p>

<pre><code>forEach(instance in objects)
</code></pre>

<p>But this does not seem to be correct.</p>
","For-each over an array in JavaScript?","<javascript><arrays><loops><foreach><iteration>",26,3,872,"","",9329476,1289,"13:51:48"
"5",5,"2011-04-23 22:17:18",NA,2718,1974956,"<p>I have an <code>array of integers</code>, which I'm using the <code>.push()</code> method to add to.</p>

<p>Is there a simple way to remove a specific element from an array? The equivalent of something like <code>array.remove(int);</code></p>

<p>I have to use <em>core</em> JavaScript - <em>no</em> frameworks are allowed.</p>
","Remove a particular element from an array in JavaScript?","<javascript><arrays>",37,4,467,"","",5767357,989,"22:17:18"
"6",6,"2009-05-23 08:10:48",NA,2706,1938636,"<p>Is there a plugin-less way of retrieving <a href=""http://en.wikipedia.org/wiki/Query_string"">query string</a> values via jQuery (or without)? </p>

<p>If so, how? If not, is there a plugin which can do so?</p>
","How can I get query string values in JavaScript?","<javascript><url><plugins><query-string>",73,8,1459,"","2012-07-26 20:29:05",901144,289,"08:10:48"
"7",7,"2009-01-08 22:20:24",NA,2493,1903378,"<p>I'd like to do something like this to tick a <code>checkbox</code> using <strong>jQuery</strong>:</p>

<pre><code>$("".myCheckBox"").checked(true);
</code></pre>

<p>or </p>

<pre><code>$("".myCheckBox"").selected(true);
</code></pre>

<p>Does such a thing exist?</p>
","Setting ""checked"" for a checkbox with jQuery?","<javascript><jquery><checkbox><selected><checked>",33,4,490,"","",426276,154,"22:20:24"
"8",8,"2009-07-06 07:25:06",NA,782,1882651,"<p>How do I get the selected value from a dropdown list using JavaScript?</p>

<p>I tried the methods below but they all return the selected index instead of the value:</p>

<pre><code>var as = document.form1.ddlViewBy.value;
var e = document.getElementById(""ddlViewBy"");
var strUser = e.options[e.selectedIndex].value;

//This is one of the simplest form by (Narendra Kottamidde) :

var value = document.getElementById(""ddlViewBy"").value;
</code></pre>
","Get selected value in dropdown list using JavaScript?","<javascript><html-select>",13,0,223,"","",1085810,333,"07:25:06"
"9",9,"2008-09-25 17:54:27",NA,2718,1594644,"<p>The following are two methods of building a link that has the sole purpose of running JavaScript code. Which is better, in terms of functionality, page load speed, validation purposes, etc.?</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>function myJsFunc() {
    alert(""myJsFunc"");
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;a href=""#"" onclick=""myJsFunc();""&gt;Run JavaScript Code&lt;/a&gt;</code></pre>
</div>
</div>
</p>

<p>or</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>function myJsFunc() {
    alert(""myJsFunc"");
}</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code> &lt;a href=""javascript:void(0)"" onclick=""myJsFunc();""&gt;Run JavaScript Code&lt;/a&gt;</code></pre>
</div>
</div>
</p>
","Href attribute for JavaScript links: ""#"" or ""javascript:void(0)""?","<javascript><html><performance><optimization><href>",47,16,1028,"","2011-12-15 09:21:35",NA,49,"17:54:27"
"10",10,"2010-06-10 00:04:27",NA,1381,1489533,"<p>In Java you can use a <code>for()</code> loop to go through objects in an array like so:</p>

<pre><code>String[] myStringArray = {""Hello"",""World""};
for(String s : myStringArray)
{
    //Do something
}
</code></pre>

<p>Can you do the same in JavaScript?</p>
","Loop through array in JavaScript","<javascript><arrays><for-loop>",25,4,351,"","",NA,672,"00:04:27"
